Outcome,Model,Predictors,R2,Adj_R2,n
Q41,Model 1,age,5.546413739482374e-4,4.5059750983977853e-4,9608
Q41,Model 2,age + gender,0.0077423563822646155,0.007535743650642024,9608
Q41,Model 3,age + gender + education,0.016808989115990974,0.016501869891433207,9608
Q41,Model 4,age + gender + education + income,0.020153759041242163,0.01974561731846436,9608
